first,second
zu,denken
denken,und
und,ganz
ganz,verwirrt
verwirrt,holte
holte,der
der,kleine
kleine,prinz
prinz,eine
eine,kanne
kanne,mit
mit,frischem
frischem,wasser
wasser,um
um,die
die,blume
blume,zu
zu,gießen
gießen,bald
bald,schon
schon,nervte
nervte,sie
sie,ihn
ihn,mit
mit,ihrer
ihrer,scheuen
scheuen,eitelkeit
eitelkeit,eines
eines,tages
tages,zum
zum,beispiel
beispiel,als
als,sie
sie,dem
dem,kleinen
kleinen,prinzen
prinzen,von
von,ihren
ihren,vier
vier,dornen
dornen,erzählte
erzählte,hatte
hatte,sie
sie,zu
zu,ihm
ihm,gesagt
gesagt,die
die,tiger
tiger,sollen
sollen,nur
nur,kommen
kommen,mit
mit,ihren
ihren,krallen
krallen,auf
auf,meinem
meinem,planeten
planeten,gibt
gibt,es
es,keine
keine,tiger
tiger,erwiderte
erwiderte,der
der,kleine
kleine,prinz
prinz,und
und,außerdem
außerdem,fressen
fressen,tiger
tiger,kein
kein,gras
gras,ich
ich,bin
bin,kein
kein,gras
gras,antwortete
antwortete,die
die,blume
blume,sanft
sanft,entschuldigen
entschuldigen,sie
sie,mich
mich,vor
vor,tigern
tigern,fürchte
fürchte,ich
ich,mich
mich,nicht
nicht,aber
aber,jeder
jeder,luftzug
luftzug,ist
ist,mir
mir,ein
ein,graus
graus,hätten
hätten,sie
sie,nicht
nicht,einen
einen,wandschirm
wandschirm,grauen
grauen,vor
vor,luftzug
luftzug,das
das,sind
sind,schlechte
schlechte,aussichten
aussichten,für
für,eine
eine,blume
blume,bemerkte
bemerkte,der
der,kleine
kleine,prinz
prinz,diese
diese,blume
blume,ist
ist,äußerst
äußerst,kompliziert
kompliziert,stellen
stellen,sie
sie,mich
mich,am
am,abend
abend,einfach
einfach,unter
unter,eine
eine,glasglocke
glasglocke,es
es,ist
ist,sehr
sehr,kalt
kalt,bei
bei,ihnen
ihnen,das
das,ist
ist,schlecht
schlecht,eingerichtet
eingerichtet,da
da,wo
wo,ich
ich,herkomme
herkomme,aber
aber,sie
sie,unterbrach
unterbrach,sich
sich,sie
sie,war
war,ja
ja,als
als,samen
samen,gekommen
gekommen,sie
sie,konnte
konnte,gar
gar,nichts
nichts,von
von,den
den,anderen
anderen,welten
welten,kennen
kennen,beschämt
beschämt,dass
dass,sie
sie,sich
sich,selbst
selbst,mit
mit,einer
einer,so
so,einfallslosen
einfallslosen,lüge
lüge,enttarnt
enttarnt,hatte
hatte,hustete
hustete,sie
sie,zwei
zwei,oder
oder,drei
drei,mal
mal,damit
damit,sich
sich,der
der,kleine
kleine,prinz
prinz,schuldig
schuldig,fühlte
fühlte,dieser
dieser,wandschirm
wandschirm,ich
ich,wollte
wollte,ihn
ihn,eben
eben,holen
holen,gehen
gehen,aber
aber,sie
sie,sprachen
sprachen,mit
mit,mir
mir,wieder
wieder,hatte
hatte,sie
sie,sich
sich,gezwungen
gezwungen,zu
zu,husten
husten,um
um,ihm
ihm,ein
ein,schlechtes
schlechtes,gewissen
gewissen,zu
zu,machen
machen,so
so,hatte
hatte,der
der,kleine
kleine,prinz
prinz,obwohl
obwohl,er
er,durch
durch,seine
seine,liebe
liebe,guten
guten,willens
willens,war
war,rasch
rasch,an
an,ihr
ihr,gezweifelt
gezweifelt,er
er,hatte
hatte,unwichtige
unwichtige,worte
worte,allzu
allzu,ernst
ernst,genommen
genommen,und
und,war
war,dabei
dabei,sehr
sehr,unglücklich
unglücklich,geworden
geworden,ich
ich,hätte
hätte,nicht
nicht,auf
auf,sie
sie,hören
hören,sollen
sollen,vertraute
vertraute,er
er,mir
mir,eines
eines,tages
tages,an
an,auf
auf,blumen
blumen,sollte
sollte,man
man,niemals
niemals,hören
hören,man
man,muss
muss,sie
sie,anschauen
anschauen,und
und,einatmen
einatmen,meine
meine,ließ
ließ,meinen
meinen,planeten
planeten,duften
duften,aber
aber,ich
ich,konnte
konnte,mich
mich,nicht
nicht,darüber
darüber,freuen
freuen,diese
diese,geschichte
geschichte,mit
mit,den
den,krallen
krallen,die
die,mich
mich,derart
derart,zornig
zornig,gemacht
gemacht,hatte
hatte,hätte
hätte,mir
mir,eigentlich
eigentlich,zu
zu,herzen
herzen,gehen
gehen,sollen
sollen,und
und,weiter
weiter,vertraute
vertraute,er
er,mir
mir,an
an,ich
ich,war
war,nicht
nicht,in
in,der
der,lage
lage,es
es,zu
zu,verstehen
verstehen,ich
ich,hätte
hätte,sie
sie,nach
nach,ihren
ihren,taten
taten,und
und,nicht
nicht,nach
nach,ihren
ihren,worten
worten,beurteilen
beurteilen,sollen
sollen,sie
sie,spendete
spendete,mir
mir,duft
duft,sie
sie,strahlte
strahlte,für
für,mich
mich,niemals
niemals,hätte
hätte,ich
ich,fliehen
fliehen,dürfen
dürfen,hinter
hinter,den
den,armseligen
armseligen,boshaftigkeiten
boshaftigkeiten,hätte
hätte,ich
ich,ihre
ihre,zärtlich
zärtlich,keit
keit,erkennen
erkennen,müssen
müssen,blumen
blumen,sind
sind,voller
voller,widersprüche
widersprüche,aber
aber,ich
ich,war
war,zu
zu,jung
jung,um
um,sie
sie,lieben
lieben,zu
zu,können
können,ich
ich,glaube
glaube,für
für,seine
seine,flucht
flucht,diente
diente,ihm
ihm,ein
ein,schwarm
schwarm,wilder
wilder,zugvögel
zugvögel,am
am,tag
tag,seiner
seiner,abreise
abreise,räumte
räumte,er
er,seinen
seinen,planeten
planeten,auf
auf,die
die,noch
noch,aktiven
aktiven,vulkane
vulkane,fegte
fegte,er
er,sorgfältig
sorgfältig,sauber
sauber,er
er,besaß
besaß,zwei
zwei,aktive
aktive,vulkane
vulkane,die
die,waren
waren,nützlich
nützlich,um
um,sich
sich,sein
sein,frühstück
frühstück,aufzuwärmen
aufzuwärmen,er
er,besaß
besaß,auch
auch,einen
einen,erloschenen
erloschenen,vulkan
vulkan,aber
aber,er
er,sagte
sagte,sich
sich,man
man,weiß
weiß,ja
ja,nie
nie,so
so,fegte
fegte,er
er,auch
auch,den
den,erloschenen
erloschenen,vulkan
vulkan,wenn
wenn,vulkane
vulkane,sauber
sauber,gefegt
gefegt,sind
sind,brennen
brennen,sie
sie,nur
nur,ganz
ganz,leicht
leicht,und
und,gleichmäßig
gleichmäßig,ohne
ohne,auszubrechen
auszubrechen,vulkanische
vulkanische,ausbrüche
ausbrüche,sind
sind,so
so,wie
wie,kaminfeuer
kaminfeuer,wir
wir,auf
auf,der
der,erde
erde,sind
sind,viel
viel,zu
zu,klein
klein,um
um,unsere
unsere,vulkane
vulkane,abzufegen
abzufegen,darum
darum,bereiten
bereiten,sie
sie,uns
uns,so
so,viele
viele,sorgen
sorgen,auch
auch,die
die,letzten
letzten,triebe
triebe,der
der,affenbrotbäume
affenbrotbäume,riss
riss,der
der,kleine
kleine,prinz
prinz,betrübt
betrübt,heraus
heraus,er
er,dachte
dachte,er
er,würde
würde,nie
nie,wiederkommen
wiederkommen,aber
aber,all
all,diese
diese,vertrauten
vertrauten,handgriffe
handgriffe,erschienen
erschienen,ihm
ihm,an
an,diesem
diesem,morgen
morgen,sehr
sehr,angenehm
angenehm,und
und,als
als,er
er,die
die,blume
blume,zum
zum,letzten
letzten,mal
mal,goss
goss,und
und,sie
sie,unter
unter,ihre
ihre,schützende
schützende,glasglocke
glasglocke,stellen
stellen,wollte
wollte,da
da,überkam
überkam,ihn
ihn,das
das,bedürfnis
bedürfnis,zu
zu,weinen
weinen,adieu
adieu,sagte
sagte,er
er,zu
zu,der
der,blume
blume,aber
aber,sie
sie,antwortete
antwortete,ihm
ihm,nicht
nicht,adieu
adieu,wiederholte
wiederholte,er
er,die
die,blume
blume,musste
musste,husten
husten,aber
aber,das
das,lag
lag,nicht
nicht,an
an,ihrer
ihrer,erkältung
erkältung,ich
ich,bin
bin,dumm
dumm,gewesen
gewesen,sagte
sagte,sie
sie,schließlich
schließlich,bitte
bitte,verzeih
verzeih,mir
mir,versuche
versuche,glücklich
glücklich,zu
zu,sein
sein,er
er,war
war,überrascht
überrascht,darüber
darüber,keine
keine,vorwürfe
vorwürfe,zu
zu,hören
hören,er
er,blieb
blieb,ganz
ganz,erstaunt
erstaunt,stehen
stehen,die
die,glasglocke
glasglocke,in
in,den
den,händen
händen,diese
diese,ruhige
ruhige,liebenswürdigkeit
liebenswürdigkeit,verstand
verstand,er
er,nicht
nicht,aber
aber,ja
ja,ich
ich,liebe
liebe,dich
dich,sagte
sagte,die
die,blume
blume,ich
ich,bin
bin,schuld
schuld,dass
dass,du
du,es
es,nicht
nicht,bemerkt
bemerkt,hast
hast,es
es,ist
ist,nicht
nicht,wichtig
wichtig,du
du,warst
warst,ebenso
ebenso,dumm
dumm,wie
wie,ich
ich,versuche
versuche,glücklich
glücklich,zu
zu,sein
sein,leg
leg,die
die,glasglocke
glasglocke,weg
weg,ich
ich,möchte
möchte,sie
sie,nicht
nicht,mehr
mehr,aber
aber,der
der,wind
wind,so
so,erkältet
erkältet,bin
bin,ich
ich,gar
gar,nicht
nicht,der
der,nächtliche
nächtliche,wind
wind,wird
wird,mir
mir,gut
gut,tun
tun,ich
ich,bin
bin,eine
eine,blume
blume,aber
aber,die
die,insekten
insekten,ich
ich,muss
muss,schon
schon,zwei
zwei,oder
oder,drei
drei,raupen
raupen,aushalten
aushalten,wenn
wenn,ich
ich,die
die,schmetterlinge
schmetterlinge,kennenlernen
kennenlernen,will
will,sie
sie,sollen
sollen,so
so,wunderschön
wunderschön,sein
sein,wer
wer,wird
wird,mich
mich,ansonsten
ansonsten,besuchen
besuchen,du
du,wirst
wirst,weit
weit,fort
fort,sein
sein,was
was,die
die,großen
großen,tiere
tiere,angeht
angeht,habe
habe,ich
ich,keine
keine,angst
angst,ich
ich,habe
habe,meine
meine,dornen
dornen,leichtgläubig
leichtgläubig,zeigte
zeigte,sie
sie,ihre
ihre,vier
vier,dornen
dornen,dann
dann,fügte
fügte,sie
sie,hinzu
hinzu,trödel
trödel,nicht
nicht,so
so,rum
rum,das
das,ist
ist,ärgerlich
ärgerlich,du
du,hast
hast,entschieden
entschieden,fortzugehen
fortzugehen,mach
mach,dich
dich,auf
auf,den
den,weg
weg,sie
sie,wollte
wollte,nicht
nicht,dass
dass,er
er,sie
sie,weinen
weinen,sieht
sieht,sie
sie,war
war,eine
eine,so
so,stolze
stolze,blume
blume,er
er,befand
befand,sich
sich,in
in,der
der,gegend
gegend,der
der,asteroiden
asteroiden,und
und,so
so,begann
begann,er
er,ihnen
ihnen,einen
einen,besuch
besuch,abzustatten
abzustatten,um
um,sich
sich,zu
zu,beschäftigen
beschäftigen,und
und,sich
sich,schlau
schlau,zu
zu,machen
machen,auf
auf,dem
dem,ersten
ersten,lebte
lebte,ein
ein,könig
könig,der
der,könig
könig,saß
saß,in
in,purpur
purpur,und
und,hermelin
hermelin,gekleidet
gekleidet,auf
auf,einem
einem,thron
thron,der
der,schlicht
schlicht,aber
aber,majestätisch
majestätisch,war
war,ah
ah,ein
ein,untertan
untertan,freute
freute,er
er,sich
sich,als
als,er
er,den
den,kleinen
kleinen,prinzen
prinzen,sah
sah,und
und,der
der,kleine
kleine,prinz
prinz,fragte
fragte,wie
wie,kommt
kommt,es
es,dass
dass,sie
sie,mich
mich,kennen
kennen,sie
sie,haben
haben,mich
mich,noch
noch,nie
nie,zuvor
zuvor,gesehen
gesehen,er
er,wusste
wusste,nicht
nicht,dass
dass,die
die,welt
welt,für
für,könige
könige,sehr
sehr,einfach
einfach,ist
ist,alle
alle,menschen
menschen,sind
sind,untertanen
untertanen,komm
komm,mal
mal,näher
näher,heran
heran,damit
damit,ich
ich,dich
dich,besser
besser,sehen
sehen,kann
kann,sagte
sagte,der
der,könig
könig,ganz
ganz,stolz
stolz,darauf
darauf,jemandes
jemandes,könig
könig,sein
sein,zu
zu,können
können,der
der,kleine
kleine,prinz
prinz,schaute
schaute,sich
sich,nach
nach,einer
einer,sitzgelegenheit
sitzgelegenheit,um
um,doch
doch,der
der,herrliche
herrliche,hermelinmantel
hermelinmantel,nahm
nahm,den
den,ganzen
ganzen,planten
planten,ein
ein,so
so,blieb
blieb,er
er,stehen
stehen,doch
doch,vor
vor,müdigkeit
müdigkeit,musste
musste,er
er,gähnen
gähnen,es
es,gehört
gehört,sich
sich,nicht
nicht,in
in,gegenwart
gegenwart,eines
eines,königs
königs,zu
zu,gähnen
gähnen,ermahnte
ermahnte,ihn
ihn,der
der,monarch
monarch,ich
ich,untersage
untersage,es
es,dir
dir,ich
ich,kann
kann,nichts
nichts,dagegen
dagegen,machen
machen,antwortete
antwortete,der
der,kleine
kleine,prinz
prinz,ganz
ganz,verwirrt
verwirrt,ich
ich,habe
habe,eine
eine,lange
lange,reise
reise,hinter
hinter,mir
mir,und
und,kam
kam,nicht
nicht,zum
zum,schlafen
schlafen,dann
dann,befehle
befehle,ich
ich,dir
dir,zu
zu,gähnen
gähnen,sagte
sagte,der
der,könig
könig,zu
zu,ihm
ihm,seit
seit,jahren
jahren,habe
habe,ich
ich,niemanden
niemanden,mehr
mehr,gähnen
gähnen,gesehen
gesehen,gähnen
gähnen,ist
ist,eine
eine,wahre
wahre,seltenheit
seltenheit,für
für,mich
mich,also
also,los
los,gähne
gähne,noch
noch,mal
mal,dies
dies,ist
ist,ein
ein,befehl
befehl,das
das,schüchtert
schüchtert,mich
mich,ein
ein,ich
ich,kann
kann,nicht
nicht,mehr
mehr,erwiderte
erwiderte,der
der,prinz
prinz,und
und,wurde
wurde,ganz
ganz,rot
rot,hm
hm,hm
hm,machte
machte,der
der,könig
könig,dann
dann,befehle
befehle,ich
ich,dir
dir,mal
mal,zu
zu,gähnen
gähnen,und
und,mal
mal,zu
zu,er
er,stammelte
stammelte,ein
ein,wenig
wenig,und
und,schien
schien,verärgert
verärgert,denn
denn,dem
dem,könig
könig,lag
lag,besonders
besonders,daran
daran,dass
dass,seine
seine,autorität
autorität,geschätzt
geschätzt,würde
würde,ungehorsam
ungehorsam,tolerierte
tolerierte,er
er,nicht
nicht,er
er,war
war,ein
ein,strenger
strenger,monarch
monarch,doch
doch,weil
weil,er
er,sehr
sehr,gütig
gütig,war
war,gab
gab,er
er,vernünftige
vernünftige,befehle
befehle,wenn
wenn,ich
ich,den
den,befehl
befehl,erteile
erteile,sagte
sagte,er
er,häufig
häufig,dass
dass,sich
sich,ein
ein,general
general,in
in,einen
einen,meeresvogel
meeresvogel,verwandeln
verwandeln,soll
soll,und
und,der
der,general
general,gehorcht
gehorcht,nicht
nicht,so
so,wäre
wäre,es
es,nicht
nicht,sein
sein,fehler
fehler,es
es,wäre
wäre,mein
mein,fehler
fehler,darf
darf,ich
ich,mich
mich,setzen
setzen,fragte
fragte,der
der,kleine
kleine,prinz
prinz,schüchtern
schüchtern,ich
ich,befehle
befehle,dir
dir,dich
dich,zu
zu,setzen
setzen,antwortete
antwortete,der
der,könig
könig,und
und,rückte
rückte,würdevoll
würdevoll,einen
einen,zipfel
zipfel,seines
seines,hermelinmantels
hermelinmantels,zurecht
zurecht,aber
aber,der
der,kleine
kleine,prinz
prinz,wunderte
wunderte,sich
sich,der
der,planet
planet,war
war,winzig
winzig,über
über,wen
wen,konnte
konnte,der
der,könig
könig,denn
denn,regieren
regieren,hoheit
hoheit,sagte
sagte,er
er,verzeiht
verzeiht,mir
mir,wenn
wenn,ich
ich,sie
sie,unterbreche
unterbreche,ich
ich,befehle
befehle,dir
dir,mich
mich,zu
zu,unterbrechen
unterbrechen,sagte
sagte,der
der,könig
könig,eilig
eilig,hoheit
hoheit,worüber
worüber,herrscht
herrscht,ihr
ihr,über
über,alles
alles,antwortete
antwortete,schlichtweg
schlichtweg,der
der,könig
könig,über
über,alles
alles,mit
mit,einer
einer,taktvollen
taktvollen,geste
geste,zeigte
zeigte,der
der,könig
könig,auf
auf,seinen
seinen,planeten
planeten,auf
auf,die
die,anderen
anderen,planeten
planeten,und
und,die
die,sterne
sterne,über
über,das
das,alles
alles,sagte
sagte,der
der,kleine
kleine,prinz
prinz,über
über,das
das,alles
alles,antwortete
antwortete,der
der,könig
könig,denn
denn,er
er,war
war,nicht
nicht,nur
nur,ein
ein,absoluter
absoluter,monarch
monarch,sondern
sondern,ein
ein,universeller
universeller,und
und,auch
auch,die
die,sterne
sterne,gehorchen
gehorchen,euch
euch,natürlich
natürlich,sagte
sagte,der
der,könig
könig,sie
sie,gehorchen
gehorchen,aufs
aufs,wort
wort,ich
ich,toleriere
toleriere,keinen
keinen,ungehorsam
ungehorsam,der
der,kleine
kleine,prinz
prinz,bewunderte
bewunderte,solch
solch,eine
eine,große
große,macht
macht,wenn
wenn,er
er,sie
sie,selbst
selbst,besäße
besäße,könnte
könnte,er
er,nicht
nicht,nur
nur,vierundvierzig
vierundvierzig,sondern
sondern,zweiundsiebzig
zweiundsiebzig,oder
oder,gar
gar,hundert
hundert,oder
oder,zweihundert
zweihundert,sonnenuntergänge
sonnenuntergänge,an
an,einem
einem,tag
tag,sehen
sehen,ohne
ohne,nur
nur,ein
ein,einziges
einziges,mal
mal,seinen
seinen,stuhl
stuhl,zu
zu,verrücken
verrücken,und
und,weil
weil,er
er,ein
ein,wenig
wenig,traurig
traurig,war
war,beim
beim,gedanken
gedanken,an
an,seinen
seinen,verlassenen
verlassenen,planeten
planeten,fasste
fasste,er
er,mut
mut,und
und,bat
bat,den
den,könig
könig,um
um,einen
einen,gefallen
gefallen,ich
ich,würde
würde,so
so,gerne
gerne,einen
einen,sonnenuntergang
sonnenuntergang,sehen
sehen,macht
macht,mir
mir,die
die,freude
freude,befehlt
befehlt,der
der,sonne
sonne,unterzugehen
unterzugehen,wenn
wenn,ich
ich,einem
einem,general
general,den
den,befehl
befehl,geben
geben,würde
würde,wie
wie,ein
ein,schmetterling
schmetterling,von
von,einer
einer,blume
blume,zur
zur,nächsten
nächsten,zu
zu,fliegen
fliegen,oder
oder,eine
eine,tragödie
tragödie,zu
zu,verfassen
verfassen,oder
oder,sich
sich,in
in,einen
einen,meeresvogel
meeresvogel,zu
zu,verwandeln
verwandeln,und
und,wenn
wenn,der
der,general
general,den
den,erhaltenen
erhaltenen,befehl
befehl,nicht
nicht,ausführen
ausführen,würde
würde,wer
wer,von
von,uns
uns,beiden
beiden,wäre
wäre,dann
dann,im
im,unrecht
unrecht,er
er,oder
oder,ich
ich,ihr
ihr,wäret
wäret,es
es,antwortete
antwortete,der
der,prinz
prinz,voller
voller,überzeugung
überzeugung,genau
genau,man
man,muss
muss,von
von,jedem
jedem,das
das,verlangen
verlangen,was
was,er
er,geben
geben,kann
kann,erwiderte
erwiderte,der
der,könig
könig,autorität
autorität,erlangt
erlangt,man
man,zuallererst
zuallererst,durch
durch,vernunft
vernunft,befiehlst
befiehlst,du
du,einem
einem,volk
volk,sich
sich,ins
ins,meer
meer,zu
zu,schmeißen
schmeißen,so
so,wird
wird,es
es,eine
eine,revolution
revolution,anzetteln
anzetteln,ich
ich,habe
habe,das
das,recht
recht,gehorsam
gehorsam,zu
zu,verlangen
verlangen,weil
weil,meine
meine,befehle
befehle,vernünftig
vernünftig,sind
sind,wie
wie,steht
steht,es
es,also
also,um
um,meinen
meinen,sonnenuntergang
sonnenuntergang,fragte
fragte,nochmals
nochmals,der
der,kleine
kleine,prinz
prinz,der
der,niemals
niemals,von
von,einer
einer,frage
frage,abließ
abließ,wenn
wenn,er
er,sie
sie,einmal
einmal,gestellt
gestellt,hatte
hatte,du
du,bekommst
bekommst,deinen
deinen,sonnenuntergang
sonnenuntergang,ich
ich,werde
werde,ihn
ihn,anordnen
anordnen,aber
aber,da
da,ich
ich,zu
zu,regieren
regieren,verstehe
verstehe,werde
werde,ich
ich,abwarten
abwarten,bis
bis,die
die,umstände
umstände,günstig
günstig,sind
sind,wann
wann,wird
wird,das
das,sein
sein,wollte
wollte,der
der,kleine
kleine,prinz
prinz,wissen
wissen,hm
hm,hm
hm,antworte
antworte,der
der,könig
könig,und
und,schaute
schaute,zunächst
zunächst,in
in,einen
einen,dicken
dicken,kalender
kalender,hm
hm,hm
hm,das
das,wird
wird,um
um,um
um,es
es,wird
wird,heute
heute,abend
abend,um
um,sieben
sieben,uhr
uhr,vierzig
vierzig,sein
sein,und
und,du
du,wirst
wirst,sehen
sehen,wie
wie,man
man,mir
mir,gehorcht
gehorcht,der
der,kleine
kleine,prinz
prinz,gähnte
gähnte,er
er,bedauerte
bedauerte,dass
dass,ihm
ihm,der
der,sonnenuntergang
sonnenuntergang,vorenthalten
vorenthalten,blieb
blieb,und
und,dann
dann,langweilte
langweilte,er
er,sich
sich,schon
schon,ein
ein,bisschen
bisschen,ich
ich,habe
habe,hier
hier,nichts
nichts,mehr
mehr,zu
zu,tun
tun,sagte
sagte,er
er,zum
zum,könig
könig,ich
ich,werde
werde,wieder
wieder,aufbrechen
aufbrechen,geh
geh,nicht
nicht,fort
fort,antwortete
antwortete,der
der,könig
könig,der
der,so
so,stolz
stolz,darauf
darauf,war
war,einen
einen,untertan
untertan,zu
zu,haben
haben,geh
geh,nicht
nicht,fort
fort,ich
ich,mache
mache,dich
dich,zum
zum,minister
minister,zu
zu,was
was,für
für,einem
einem,minister
minister,zum
zum,zum
zum,justizminister
justizminister,aber
aber,es
es,gibt
gibt,doch
doch,niemanden
niemanden,den
den,man
man,verurteilen
verurteilen,könnte
könnte,das
das,weiß
weiß,man
man,doch
doch,nicht
nicht,sagte
sagte,der
der,könig
könig,ich
ich,war
war,noch
noch,nicht
nicht,an
an,jedem
jedem,ort
ort,meines
meines,königreiches
königreiches,ich
ich,bin
bin,sehr
sehr,alt
alt,und
und,es
es,fehlt
fehlt,der
der,platz
platz,für
für,ein
ein,gefährt
gefährt,und
und,das
das,laufen
laufen,ermüdet
ermüdet,mich
mich,oh
oh,aber
aber,ich
ich,habe
habe,es
es,schon
schon,gesehen
gesehen,sagte
sagte,der
der,kleine
kleine,prinz
prinz,und
und,neigte
neigte,seinen
seinen,kopf
kopf,um
um,nochmals
nochmals,auf
auf,die
die,andere
andere,seite
seite,des
des,planeten
planeten,zu
zu,schauen
schauen,dort
dort,ist
ist,auch
auch,niemand
niemand,so
so,wirst
wirst,du
du,über
über,dich
dich,selbst
selbst,urteil
urteil,sprechen
sprechen,sagte
sagte,der
der,könig
könig,das
das,ist
ist,am
am,schwierigsten
schwierigsten,viel
viel,schwieriger
schwieriger,als
als,über
über,andere
andere,zu
zu,urteilen
urteilen,wenn
wenn,du
du,es
es,schaffst
schaffst,über
über,dich
dich,selbst
selbst,ein
ein,urteil
urteil,zu
zu,fällen
fällen,dann
dann,bist
bist,du
du,ein
ein,wirklich
wirklich,weiser
weiser,mensch
mensch,ich
ich,sagte
sagte,der
der,kleine
kleine,prinz
prinz,ich
ich,kann
kann,überall
überall,über
über,mich
mich,selbst
selbst,urteilen
urteilen,dazu
dazu,muss
muss,ich
ich,nicht
nicht,hier
hier,wohnen
wohnen,hm
hm,hm
hm,sagte
sagte,der
der,könig
könig,ich
ich,habe
habe,den
den,eindruck
eindruck,auf
auf,meinem
meinem,planten
planten,gibt
gibt,es
es,irgendwo
irgendwo,eine
eine,alte
alte,ratte
ratte,des
des,nachts
nachts,höre
höre,ich
ich,sie
sie,über
über,diese
diese,alte
alte,ratte
ratte,könntest
könntest,du
du,ein
ein,urteil
urteil,fällen
fällen,von
von,zeit
zeit,zu
zu,zeit
zeit,verurteilst
verurteilst,du
du,sie
sie,zum
zum,tode
tode,ihr
ihr,leben
leben,wird
wird,von
von,deinem
deinem,urteil
urteil,abhängen
abhängen,aber
aber,jedes
jedes,mal
mal,wirst
wirst,du
du,sie
sie,begnadigen
begnadigen,denn
denn,sie
sie,muss
muss,ja
ja,aufgespart
aufgespart,werden
werden,es
es,gibt
gibt,schließlich
schließlich,nur
nur,eine
eine,ich
ich,mag
mag,kein
kein,todesurteil
todesurteil,sprechen
sprechen,sagte
sagte,der
der,kleine
kleine,prinz
prinz,und
und,ich
ich,werde
werde,jetzt
jetzt,lieber
lieber,gehen
gehen,nein
nein,sagte
sagte,der
der,könig
könig,zwar
zwar,hatte
hatte,der
der,kleine
kleine,prinz
prinz,schon
schon,alle
alle,vorkehrungen
vorkehrungen,getroffen
getroffen,aber
aber,er
er,wollte
wollte,den
den,alten
alten,monarchen
monarchen,nicht
nicht,traurig
traurig,machen
machen,wenn
wenn,eure
eure,majestät
majestät,sich
sich,wünscht
wünscht,man
man,möge
möge,zur
zur,rechten
rechten,zeit
zeit,gehorchen
gehorchen,so
so,könnten
könnten,sie
sie,mir
mir,einen
einen,vernünftigen
vernünftigen,befehl
befehl,geben
geben,sie
sie,könnte
könnte,zum
zum,beispiel
beispiel,befehlen
befehlen,ich
ich,solle
solle,innerhalb
innerhalb,von
von,einer
einer,minute
minute,verschwinden
verschwinden,mir
mir,scheint
scheint,die
die,umstände
umstände,sind
sind,günstig
günstig,weil
weil,der
der,könig
könig,nichts
nichts,erwiderte
erwiderte,zögerte
zögerte,der
der,kleine
kleine,prinz
prinz,zunächst
zunächst,aber
aber,dann
dann,brach
brach,er
er,seufzend
seufzend,auf
auf,ich
ich,mache
mache,dich
dich,zu
zu,meinem
meinem,botschafter
botschafter,rief
rief,der
der,könig
könig,ihm
ihm,eilig
eilig,hinterher
hinterher,er
er,legte
legte,große
große,autorität
autorität,an
an,den
den,tag
tag,die
die,erwachsenen
erwachsenen,sind
sind,doch
doch,wirklich
wirklich,sonderbar
sonderbar,sagte
sagte,sich
sich,der
der,kleine
kleine,prinz
prinz,auf
auf,seiner
seiner,reise
reise,der
der,zweite
zweite,planet
planet,wurde
wurde,von
von,einem
einem,eitlen
eitlen,bewohnt
bewohnt,ah
ah,ah
ah,besuch
besuch,eines
eines,verehrers
verehrers,freute
freute,sich
sich,der
der,eitle
eitle,als
als,er
er,den
den,kleinen
kleinen,prinzen
prinzen,sah
sah,denn
denn,für
für,eitle
eitle,menschen
menschen,sind
sind,alle
alle,anderen
anderen,verehrer
verehrer,guten
guten,tag
tag,sagte
sagte,der
der,kleine
kleine,prinz
prinz,sie
sie,haben
haben,einen
einen,merkwürdigen
merkwürdigen,hut
hut,der
der,ist
ist,zum
zum,grüßen
grüßen,sagte
sagte,der
der,eitle
eitle,damit
damit,ich
ich,zurück
zurück,grüßen
grüßen,kann
kann,wenn
wenn,jemand
jemand,mich
mich,anhimmelt
anhimmelt,nur
nur,leider
leider,kommt
kommt,hier
hier,nie
nie,jemand
jemand,vorbei
vorbei,ach
ach,so
so,sagte
sagte,der
der,kleine
kleine,prinz
prinz,ohne
ohne,recht
recht,zu
zu,verstehen
verstehen,schlag
schlag,mal
mal,mit
mit,der
der,einen
einen,hand
hand,auf
auf,die
die,andere
andere,riet
riet,ihm
ihm,der
der,eitle
eitle,der
der,kleine
kleine,prinz
prinz,schlug
schlug,mit
mit,der
der,einen
einen,auf
auf,die
die,andere
andere,hand
hand,der
der,eitle
eitle,grüßte
grüßte,in
in,aller
aller,bescheidenheit
bescheidenheit,indem
indem,er
er,den
den,hut
hut,zog
zog,das
das,ist
ist,immerhin
immerhin,witziger
witziger,als
als,der
der,besuch
besuch,beim
beim,könig
könig,sagte
sagte,der
der,kleine
kleine,prinz
prinz,zu
zu,sich
sich,selbst
selbst,wieder
wieder,schlug
schlug,er
er,die
die,hände
hände,zusammen
zusammen,wieder
wieder,zog
zog,der
der,eitle
eitle,zum
zum,gruß
gruß,seinen
seinen,hut
hut,nach
nach,fünf
fünf,minuten
minuten,ödete
ödete,die
die,eintönigkeit
eintönigkeit,des
des,spiels
spiels,den
den,kleinen
kleinen,prinzen
prinzen,an
an,und
und,was
was,muss
muss,man
man,tun
tun,damit
damit,der
der,hut
hut,runterfällt
runterfällt,doch
doch,der
der,eitle
eitle,hörte
hörte,ihn
ihn,nicht
nicht,eitle
eitle,menschen
menschen,hören
hören,nur
