first,second
erinnerte,mich
mich,daran
daran,dass
dass,ich
ich,vor
vor,allem
allem,geographie
geographie,geschichte
geschichte,mathematik
mathematik,und
und,grammatik
grammatik,erlernt
erlernt,hatte
hatte,und
und,so
so,sagte
sagte,ich
ich,schlecht
schlecht,gelaunt
gelaunt,zu
zu,dem
dem,kleinen
kleinen,männchen
männchen,dass
dass,ich
ich,nicht
nicht,zeichnen
zeichnen,könne
könne,er
er,antwortete
antwortete,mir
mir,das
das,macht
macht,nichts
nichts,zeichne
zeichne,mir
mir,ein
ein,schaf
schaf,weil
weil,ich
ich,niemals
niemals,ein
ein,schaf
schaf,gezeichnet
gezeichnet,hatte
hatte,malte
malte,ich
ich,einfach
einfach,eines
eines,der
der,zwei
zwei,bilder
bilder,die
die,ich
ich,beherrschte
beherrschte,jenes
jenes,von
von,der
der,geschlossenen
geschlossenen,riesenschlange
riesenschlange,und
und,ich
ich,war
war,verblüfft
verblüfft,als
als,der
der,kleine
kleine,kerl
kerl,mir
mir,antwortete
antwortete,nein
nein,nein
nein,ich
ich,will
will,keinen
keinen,elefanten
elefanten,in
in,einer
einer,riesenschlage
riesenschlage,eine
eine,riesenschlange
riesenschlange,ist
ist,sehr
sehr,gefährlich
gefährlich,und
und,ein
ein,elefant
elefant,nimmt
nimmt,viel
viel,platz
platz,weg
weg,bei
bei,mir
mir,ist
ist,es
es,ganz
ganz,klein
klein,ich
ich,brauche
brauche,ein
ein,schaf
schaf,zeichne
zeichne,mir
mir,ein
ein,schaf
schaf,so
so,habe
habe,ich
ich,also
also,gezeichnet
gezeichnet,er
er,schaute
schaute,aufmerksam
aufmerksam,zu
zu,und
und,dann
dann,nein
nein,dieses
dieses,ist
ist,schon
schon,sehr
sehr,krank
krank,zeichne
zeichne,ein
ein,anderes
anderes,und
und,ich
ich,zeichnete
zeichnete,mein
mein,freund
freund,lächelte
lächelte,lieb
lieb,und
und,sagte
sagte,nachsichtig
nachsichtig,siehst
siehst,du
du,das
das,ist
ist,kein
kein,schaf
schaf,das
das,ist
ist,ein
ein,hammel
hammel,das
das,hat
hat,hörner
hörner,so
so,machte
machte,ich
ich,einen
einen,neuen
neuen,versuch
versuch,aber
aber,er
er,wurde
wurde,wie
wie,die
die,vorherigen
vorherigen,abgelehnt
abgelehnt,das
das,da
da,ist
ist,zu
zu,alt
alt,ich
ich,möchte
möchte,ein
ein,schaf
schaf,das
das,lange
lange,lebt
lebt,da
da,ich
ich,meinen
meinen,motor
motor,endlich
endlich,auseinander
auseinander,bauen
bauen,wollte
wollte,schluderte
schluderte,ich
ich,ungeduldig
ungeduldig,dieses
dieses,bild
bild,hin
hin,und
und,sagte
sagte,das
das,hier
hier,ist
ist,eine
eine,kiste
kiste,das
das,schaf
schaf,ist
ist,da
da,drin
drin,aber
aber,ich
ich,war
war,sehr
sehr,überrascht
überrascht,als
als,ich
ich,sah
sah,wie
wie,das
das,gesicht
gesicht,meines
meines,jungen
jungen,kritikers
kritikers,strahlte
strahlte,genauso
genauso,wollte
wollte,ich
ich,es
es,glaubst
glaubst,du
du,man
man,braucht
braucht,viel
viel,gras
gras,für
für,dieses
dieses,schaf
schaf,warum
warum,weil
weil,es
es,bei
bei,mir
mir,ganz
ganz,klein
klein,ist
ist,es
es,reicht
reicht,ganz
ganz,sicher
sicher,aus
aus,ich
ich,habe
habe,dir
dir,ein
ein,ganz
ganz,kleines
kleines,schaf
schaf,gegeben
gegeben,er
er,beugte
beugte,den
den,kopf
kopf,über
über,die
die,zeichnung
zeichnung,na
na,so
so,klein
klein,auch
auch,nicht
nicht,schau
schau,es
es,ist
ist,eingeschlafen
eingeschlafen,und
und,so
so,habe
habe,ich
ich,den
den,kleinen
kleinen,prinzen
prinzen,kennengelernt
kennengelernt,ich
ich,brauchte
brauchte,lange
lange,um
um,zu
zu,verstehen
verstehen,woher
woher,er
er,kam
kam,der
der,kleine
kleine,prinz
prinz,stellte
stellte,mir
mir,viele
viele,fragen
fragen,aber
